topic,key,value
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0095423805
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0555555569
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint04
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0009299600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0555555569
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint05
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0005386000
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0555555569
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint06
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0001832800
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint01
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0008393600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint02
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0242945701
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint03
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0095423805
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint04
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0009299600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint05
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0005386000
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0611111126
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint06
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0001832800
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint01
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0008393600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint02
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0242945701
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint03
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0095423805
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint04
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0009299600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint05
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0005386000
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0666666683
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint06
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0001832800
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint01
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0008393600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint02
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0242945701
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint03
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0095423805
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint04
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0009299600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint05
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0005386000
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0722222240
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint06
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0001832800
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint01
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0008393600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint02
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0242945701
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint03
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0095423805
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint04
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0009299600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint05
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0005386000
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0777777797
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint06
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0001832800
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0833333354
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint01
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0008393600
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0833333354
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint02
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
robot_joint_control,I_eff,0.0242945701
robot_joint_control,alpha,0.0000000000
robot_joint_control,sim_time,0.0833333354
robot_joint_control,dt,0.0055555557
robot_joint_control,joint_name,joint03
robot_joint_control,theta,0.0000000000
robot_joint_control,theta_ref,0.0000000000
robot_joint_control,err,0.0000000000
robot_joint_control,omega,0.0000000000
robot_joint_control,omega_ref,0.0000000000
robot_joint_control,err_d,0.0000000000
robot_joint_control,alpha_ref,0.0000000000
robot_joint_control,torque,0.0000000000
